80,30
0,30,gold,1,none
80,60,red,1,none
160,90,blue,1,none
240,120,purple,1,none
320,0,blue,1,none
320,30,blue,1,none
320,60,blue,1,none
320,90,blue,1,none
320,120,blue,1,none
320,150,blue,1,none
400,0,gold,1,none
400,30,gold,1,none
400,60,gold,1,none
400,90,gold,1,none
400,120,gold,1,none
400,150,gold,1,none
640,150,red,1,none
80,150,red,1,bullets
720,30,blue,1,none
640,60,red,1,none
560,90,purple,1,none
480,120,red,1,none
320,180,blue,1,none
400,180,gold,1,none
320,210,purple,1,none
0,210,purple,1,none
80,210,purple,1,none
160,210,purple,1,none
240,210,purple,1,none
400,210,gold,1,none
480,210,gold,1,none
560,210,gold,1,none
640,210,gold,1,none
720,210,gold,1,none
