80,30
80,30,green,1,none
160,30,green,1,none
240,30,green,1,none
80,60,green,1,none
160,60,green,1,none
240,60,green,1,extra_ball
80,90,green,1,none
80,120,green,1,none
80,150,green,1,none
80,180,green,1,none
80,210,green,1,none
160,210,green,1,none
240,210,green,1,none
80,240,green,1,none
160,240,green,1,extra_ball
240,240,green,1,none
480,30,purple,1,none
640,30,purple,1,none
400,60,purple,1,none
480,60,purple,1,none
560,60,purple,1,wide_paddle
640,60,purple,1,none
720,60,purple,1,none
400,90,purple,1,none
480,90,purple,1,none
560,90,purple,1,none
640,90,purple,1,none
720,90,purple,1,none
480,120,purple,1,none
640,120,purple,1,none
480,150,purple,1,none
640,150,purple,1,none
400,180,purple,1,extra_ball
480,180,purple,1,none
560,180,purple,1,none
640,180,purple,1,none
720,180,purple,1,none
400,210,purple,1,none
480,210,purple,1,bullets
560,210,purple,1,none
640,210,purple,1,none
720,210,purple,1,none
480,240,purple,1,none
640,240,purple,1,none
